,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,lon,lat,경도,위도
0,A,골목상권,3110008,배화여자대학교(박노수미술관),197093,453418,11110,종로구,11110515,청운효자동,149264,126.9670895683088,37.58030943835253,126.9670895683088,37.58030943835253
1,A,골목상권,3110009,자하문터널,196991,455057,11110,종로구,11110550,부암동,178306,126.96592808590958,37.59507637869068,126.96592808590958,37.59507637869068
2,A,골목상권,3110010,평창동서측,197064,456643,11110,종로구,11110560,평창동,369415,126.96674832970702,37.60936632114107,126.96674832970702,37.60936632114107
3,A,골목상권,3110017,정독도서관,198581,453781,11110,종로구,11110600,가회동,83855,126.98393465833044,37.583583539469174,126.98393465833044,37.583583539469174
4,A,골목상권,3110018,중앙고등학교,198883,453690,11110,종로구,11110600,가회동,166872,126.98735391827724,37.58276405131138,126.98735391827724,37.58276405131138
5,A,골목상권,3110019,창덕궁,199222,452926,11110,종로구,11110615,종로1?2?3?4가동,40999,126.9911927073349,37.57588080606533,126.9911927073349,37.57588080606533
6,A,골목상권,3110020,서울국제고등학교,199598,454302,11110,종로구,11110650,혜화동,133692,126.9954484333874,37.58827871837829,126.9954484333874,37.58827871837829
7,A,골목상권,3110001,이북5도청사,196262,456660,11110,종로구,11110560,평창동,108529,126.95766519329227,37.60951658051797,126.95766519329227,37.60951658051797
8,A,골목상권,3110002,독립문역 1번,196220,452912,11110,종로구,11110570,무악동,31531,126.95720886112564,37.57574723987454,126.95720886112564,37.57574723987454
9,A,골목상권,3110003,세검정초등학교,196389,455998,11110,종로구,11110550,부암동,191570,126.95910679987408,37.60355253658663,126.95910679987408,37.60355253658663
10,A,골목상권,3110004,대신고등학교,196517,452627,11110,종로구,11110580,교남동,18781,126.96057237511422,37.57318057632959,126.96057237511422,37.57318057632959
11,A,골목상권,3110035,동묘앞역 2번,201699,452879,11110,종로구,11110710,숭인2동,95779,127.01923329716882,37.57545610038485,127.01923329716882,37.57545610038485
12,A,골목상권,3110011,청운초등학교,197219,454141,11110,종로구,11110515,청운효자동,26913,126.96851328295918,37.58682400830492,126.96851328295918,37.58682400830492
13,A,골목상권,3110012,성곡미술관,197292,452641,11110,종로구,11110530,사직동,124348,126.96934533653334,37.57330931964528,126.96934533653334,37.57330931964528
14,A,골목상권,3110013,체부동홍종문가옥,197340,453202,11110,종로구,11110530,사직동,17064,126.96988666293326,37.5783640380782,126.96988666293326,37.5783640380782
15,A,골목상권,3110014,경복고등학교,197484,453952,11110,종로구,11110515,청운효자동,63411,126.97151428391328,37.58512189400342,126.97151428391328,37.58512189400342
16,A,골목상권,3110015,청와대사랑채,197585,453623,11110,종로구,11110515,청운효자동,69399,126.97265887241487,37.582157896694056,126.97265887241487,37.582157896694056
17,A,골목상권,3110016,평창동동측,197827,457040,11110,종로구,11110560,평창동,522818,126.9753885072359,37.61294536602926,126.9753885072359,37.61294536602926
18,A,골목상권,3110005,세검정,196688,455706,11110,종로구,11110550,부암동,244923,126.96249418113779,37.60092276960328,126.96249418113779,37.60092276960328
19,A,골목상권,3110006,부암동주민센터,196701,454714,11110,종로구,11110550,부암동,91486,126.96264586419525,37.591984983800906,126.96264586419525,37.591984983800906
20,A,골목상권,3110007,사직공원(한국사회과학도서관),196895,452714,11110,종로구,11110530,사직동,80252,126.96485097296461,37.57396579326782,126.96485097296461,37.57396579326782
21,A,골목상권,3110037,신설동역 12번,201949,453159,11110,종로구,11110710,숭인2동,55232,127.02206413216838,37.577978389479746,127.02206413216838,37.577978389479746
22,A,골목상권,3110038,경향신문사,197253,451928,11140,중구,11140520,소공동,36893,126.96890652578769,37.56688510789925,126.96890652578769,37.56688510789925
23,A,골목상권,3110039,회현역 1번,198305,450967,11140,중구,11140540,회현동,9928,126.98081640265393,37.55822906707704,126.98081640265393,37.55822906707704
