,학교명,위도,경도,주변_상권_코드_명,주변_상권_코드,주변_상권_엑스좌표_값,주변_상권_와이좌표_값,주변_상권_거리
0,대영고등학교,37.50366109,126.9058657,신길대성유니드아파트,3110780,191436,444742,296.0679622573545
1,서울양동초등학교,37.52584826,126.8512402,곰달래도서관,3110665,186976,447805,439.9652050248426
2,서울동작초등학교,37.49410161,126.9765088,경문고등학교(동작동성당),3110851,198202,443594,378.7571705516431
3,서울문영여자고등학교,37.47290457,126.9509181,관악소방서(문영여고),3110893,195802,441665,220.27136769512975
4,서울갈산초등학교,37.51237156,126.8702299,갈산공원,3110623,188487,445288,598.451854553985
5,서울태랑초등학교,37.62625056,127.0906031,화랑대철도공원,3110442,207943,458309,218.3785933998864
6,서울한천초등학교,37.62070936,127.0692435,공릉동 국수거리,3110429,206455,457940,343.9045916353077
7,서울신구초등학교,37.52336057,127.0239924,신사은행나무공원,3110951,202237,446807,312.4960318879962
8,서울봉화초등학교,37.61357623,127.0924085,신내역 1번,3110271,208737,457334,618.6624564387037
9,단국대학교부속소프트웨어고등학교,37.49562483,127.0577682,한티역,3120212,204740,444220,419.20599853229686
10,남서울중학교,37.48213625,126.9210371,호림박물관(성보고등학교),3110860,192858,442483,163.34315437615476
11,봉은중학교,37.51897667,127.0623894,봉은사역 4번,3110995,205554,446410,205.7702162026434
12,서울중화초등학교,37.60292163,127.094065,신아타운,3130113,208347,456318,388.78460166517374
13,서울상월초등학교,37.65865224,127.05698,노원역 9번,3110422,205580,462171,555.1080579390418
14,선유중학교,37.53328647,126.8943293,선유도역 골목형상점가,3130241,190776,448469,289.44001576837076
15,서울중목초등학교,37.59008735,127.0793361,중랑노인종합복지관,3110243,206888,454287,248.91722694112931
16,독산고등학교,37.47621872,126.9109732,미성동주민센터,3110857,192423,441763,315.8494035492405
17,방산중학교,37.50937287,127.1218756,방이역 4번,3111021,210857,445756,220.24133220364152
18,서울영림초등학교,37.48734601,126.9025393,구로디지털단지역 4번,3110778,191373,443246,142.04259267328484
19,서울평화초등학교,37.49156712,127.1228237,경찰병원역 4번(건너말공원),3111024,210919,443695,132.62149601064257
20,방산고등학교,37.50831315,127.1204696,방이동고분군(방산고등학교),3111020,210664,445286,148.13103303670346
21,세륜중학교,37.50893314,127.1312464,방이역 1번,3111032,211513,445488,92.48002611963751
22,서울양원초등학교,37.53821733,126.8231052,서울금융고등학교,3110592,184589,448509,336.12589015628106
23,서울강남초등학교,37.50619275,126.9533591,상도역 5번,3110836,195705,444812,417.16303292167026
24,정신여자중학교,37.50945384,127.0738473,잠실새내역(신천),3120225,207301,445671,780.3715580427031
25,서울송례초등학교,37.4778913,127.1384402,문현중학교(장지역 1번),3111028,211262,442494,1075.0331828805013
26,송례중학교,37.47783301,127.1397415,문현중학교(장지역 1번),3111028,211262,442494,1183.5663397752166
27,원촌중학교,37.5063251,127.0146997,논현역 4번,3120176,201666,445438,433.4514769993703
28,서울상봉초등학교,37.59797895,127.0831714,장안중학교,3110251,207245,455571,213.8778128842774
29,서울원광초등학교,37.65431092,127.0749142,중계초등학교,3110430,206575,461975,343.35767891078257
30,서울월계초등학교,37.62762424,127.0501876,장석교회,3110414,204615,458250,458.9089425856365
31,우신고등학교,37.49490231,126.8263536,온수역 8번,3110682,184527,444083,175.3884383185708
32,오륜중학교,37.51632395,127.1389238,둔촌동역 3번(성내3동주민센터),3111062,211636,447220,1103.6734812270508
33,상명대학교사범대학부속여자고등학교,37.60410891,126.9551595,세검정초등학교,3110003,196389,455998,353.9856697233388
34,서울영상고등학교,37.52330444,126.8602935,양목초등학교,3110616,187814,447073,165.94887870499016
35,남성중학교,37.47900822,126.972489,예술인마을,3110847,197545,441956,219.7364774699541
36,정신여자고등학교,37.50945384,127.0738473,잠실새내역(신천),3120225,207301,445671,780.3715580427031
